Moth,10
Cotton(lint),9
Water Melon,1
Barley,6
Jute,10
Sannhamp,10
other misc. pulses,3
Cucumber,1
Small millets,6
Turmeric,10
Dry chillies,10
Urad,3
Orange,10
Grapes,10
Citrus Fruit,10
Niger seed,10
Beans & Mutter(Vegetable),3
Oilseeds total,3
Other Kharif pulses,3
Ginger,10
Sugarcane,10
Sapota,10
Other  Rabi pulses,3
Gram,3
Tobacco,10
Arhar/Tur,3
Mango,10
Pome Fruit,10
Varagu,10
Arecanut,3
Castor seed,3
other oilseeds,3
Rice,10
Brinjal,5
Bajra,10
Potato,6
Ragi,10
Linseed,3
Jowar,10
Moong(Green Gram),3
Other Vegetables,10
Masoor,3
Tomato,6
Safflower,10
Total foodgrain,10
Lemon,10
Mesta,10
Coriander,10
Rapeseed &Mustard,2
Maize,10
Soyabean,10
Pome Granet,10
Onion,0
Groundnut,10
Papaya,10
Bottle Gourd,1
Korra,10
Peas  (vegetable),3
Horse-gram,3
Bhindi,10
Cabbage,2
Other Fresh Fruits,10
Sunflower,10
Coconut,10
Sweet potato,8
Wheat,10
other fibres,10
Cashewnut,10
Peas & beans (Pulses),3
Tapioca,10
Dry ginger,0
Guar seed,10
Sesamum,10
Samai,10
Garlic,0
Banana,10
Cowpea(Lobia),3
